SUBDIVISION,ANNUAL RAINFALL
andaman and nicobar islands,2911.4
andhra pradesh,945.0739130434783
arunachal pradesh,2927.375
assam,2454.359259259259
bihar,1200.5552631578946
chandigarh,1070.6
chatisgarh,1286.35
dadar nagar haveli,2374.1
daman and dui,1535.6999999999998
delhi,747.1
goa,3278.5
gujarat,924.3423076923077
haryana,614.5571428571429
himachal,1371.5916666666665
jammu and kashmir,1016.6181818181817
jharkhand,1303.4375
karnataka,1194.6166666666666
kerala,2937.3928571428573
lakshadweep,1600.0
madhya pradesh,1032.31
maharashtra,1278.5885714285714
manipur,2496.633333333333
meghalaya,3682.842857142857
mizoram,2616.3222222222225
nagaland,1940.7
orissa,1466.12
pondicherry,1378.475
punjab,648.545
rajasthan,581.5969696969697
sikkim,2838.35
tamil nadu,960.00625
tripura,2479.125
uttar pradesh,955.4450704225353
uttaranchal,1558.0384615384614
west bengal,1810.4263157894736
